Category: All categories

Month,fentanyl od: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,7
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,5
2008-08,5
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,5
2009-03,4
2009-04,0
2009-05,5
2009-06,9
2009-07,5
2009-08,4
2009-09,4
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,4
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,3
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,2
2011-12,2
2012-01,0
2012-02,2
2012-03,0
2012-04,0
2012-05,2
2012-06,2
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,2
2012-12,0
2013-01,5
2013-02,3
2013-03,2
2013-04,2
2013-05,2
2013-06,3
2013-07,3
2013-08,2
2013-09,3
2013-10,0
2013-11,2
2013-12,0
2014-01,1
2014-02,5
2014-03,1
2014-04,2
2014-05,0
2014-06,0
2014-07,2
2014-08,0
2014-09,0
2014-10,0
2014-11,3
2014-12,5
2015-01,2
2015-02,2
2015-03,0
2015-04,0
2015-05,2
2015-06,0
2015-07,3
2015-08,7
2015-09,2
2015-10,3
2015-11,5
2015-12,3
2016-01,1
2016-02,3
2016-03,5
2016-04,6
2016-05,7
2016-06,18
2016-07,3
2016-08,7
2016-09,4
2016-10,10
2016-11,3
2016-12,6
2017-01,5
2017-02,6
2017-03,9
2017-04,8
2017-05,33
2017-06,18
2017-07,17
2017-08,18
2017-09,15
2017-10,8
2017-11,19
2017-12,9
2018-01,20
2018-02,16
2018-03,10
2018-04,9
2018-05,16
2018-06,10
2018-07,18
2018-08,21
2018-09,30
2018-10,16
2018-11,32
2018-12,19
2019-01,24
2019-02,23
2019-03,15
2019-04,16
2019-05,11
2019-06,19
2019-07,22
2019-08,12
2019-09,31
2019-10,18
2019-11,15
2019-12,20
2020-01,17
2020-02,19
2020-03,11
2020-04,9
2020-05,13
2020-06,19
2020-07,14
2020-08,32
2020-09,28
2020-10,15
2020-11,15
2020-12,13
2021-01,15
2021-02,17
2021-03,30
2021-04,40
2021-05,18
2021-06,23
2021-07,21
2021-08,100
2021-09,53
2021-10,40
2021-11,25
2021-12,34
2022-01,45
2022-02,28
