Category: All categories

Month,fentanyl: (United States)
2004-01,8
2004-02,11
2004-03,11
2004-04,9
2004-05,12
2004-06,12
2004-07,13
2004-08,13
2004-09,11
2004-10,14
2004-11,11
2004-12,11
2005-01,12
2005-02,12
2005-03,14
2005-04,16
2005-05,15
2005-06,13
2005-07,15
2005-08,11
2005-09,13
2005-10,14
2005-11,14
2005-12,13
2006-01,17
2006-02,14
2006-03,14
2006-04,15
2006-05,19
2006-06,26
2006-07,17
2006-08,15
2006-09,16
2006-10,13
2006-11,15
2006-12,13
2007-01,14
2007-02,15
2007-03,15
2007-04,14
2007-05,17
2007-06,16
2007-07,16
2007-08,17
2007-09,15
2007-10,17
2007-11,18
2007-12,15
2008-01,17
2008-02,19
2008-03,17
2008-04,16
2008-05,15
2008-06,17
2008-07,18
2008-08,16
2008-09,16
2008-10,16
2008-11,16
2008-12,16
2009-01,18
2009-02,18
2009-03,18
2009-04,19
2009-05,16
2009-06,18
2009-07,20
2009-08,17
2009-09,18
2009-10,18
2009-11,17
2009-12,19
2010-01,19
2010-02,18
2010-03,17
2010-04,17
2010-05,18
2010-06,17
2010-07,19
2010-08,19
2010-09,18
2010-10,19
2010-11,17
2010-12,16
2011-01,20
2011-02,21
2011-03,21
2011-04,21
2011-05,20
2011-06,21
2011-07,21
2011-08,19
2011-09,21
2011-10,20
2011-11,20
2011-12,19
2012-01,20
2012-02,20
2012-03,22
2012-04,24
2012-05,22
2012-06,23
2012-07,24
2012-08,23
2012-09,23
2012-10,23
2012-11,23
2012-12,19
2013-01,24
2013-02,23
2013-03,21
2013-04,22
2013-05,21
2013-06,22
2013-07,22
2013-08,22
2013-09,21
2013-10,20
2013-11,20
2013-12,20
2014-01,23
2014-02,35
2014-03,25
2014-04,24
2014-05,24
2014-06,22
2014-07,22
2014-08,22
2014-09,21
2014-10,21
2014-11,23
2014-12,23
2015-01,23
2015-02,23
2015-03,25
2015-04,27
2015-05,26
2015-06,25
2015-07,26
2015-08,28
2015-09,25
2015-10,28
2015-11,27
2015-12,24
2016-01,24
2016-02,32
2016-03,33
2016-04,39
2016-05,33
2016-06,96
2016-07,32
2016-08,37
2016-09,38
2016-10,34
2016-11,31
2016-12,34
2017-01,35
2017-02,37
2017-03,38
2017-04,39
2017-05,50
2017-06,54
2017-07,44
2017-08,51
2017-09,40
2017-10,48
2017-11,73
2017-12,45
2018-01,67
2018-02,45
2018-03,56
2018-04,48
2018-05,41
2018-06,44
2018-07,40
2018-08,54
2018-09,46
2018-10,39
2018-11,100
2018-12,52
2019-01,66
2019-02,78
2019-03,80
2019-04,74
2019-05,68
2019-06,61
2019-07,42
2019-08,66
2019-09,56
2019-10,46
2019-11,44
2019-12,36
2020-01,49
2020-02,41
2020-03,31
2020-04,29
2020-05,36
2020-06,73
2020-07,35
2020-08,51
2020-09,39
2020-10,37
2020-11,33
2020-12,35
2021-01,33
2021-02,41
2021-03,51
2021-04,68
2021-05,60
2021-06,52
2021-07,48
2021-08,79
2021-09,84
2021-10,67
2021-11,77
2021-12,72
2022-01,77
2022-02,84
